,species,density
0,Abies,0.36
1,Abies alba,0.35
2,Abies amabilis,0.4
3,Abies balsamea,0.33
4,Abies concolor,0.37
5,Abies delavayi,0.4
6,Abies fargesii,0.34
7,Abies grandis,0.35
8,Abies holophylla,0.34
9,Abies lasiocarpa,0.31
10,Abies magnifica,0.36
11,Abies pinsapo,0.41
12,Abies procera,0.37
13,Acacia,0.75
14,Acacia acradenia,0.9
15,Acacia acuminata,0.95
16,Acacia aneura,0.98
17,Acacia aulacocarpa,0.66
18,Acacia auriculiformis,0.68
19,Acacia bakeri,0.77
20,Acacia cambagei,1.08
21,Acacia caven,0.77
22,Acacia concurrens,0.76
23,Acacia confusa,0.73
24,Acacia craspedocarpa,0.89
25,Acacia crassicarpa,0.6
26,Acacia dealbata,0.59
27,Acacia decurrens,0.56
28,Acacia dictyophleba,0.76
29,Acacia doratoxylon,0.79
30,Acacia elata,0.51
31,Acacia excelsa,0.94
32,Acacia farnesiana,0.52
33,Acacia grasbyi,0.98
34,Acacia harpophylla,0.9
35,Acacia hemignosta,0.65
36,Acacia holosericea,0.75
37,Acacia implexa,0.64
38,Acacia irrorata,0.55
39,Acacia jennerae,0.74
40,Acacia longifolia,0.52
41,Acacia maconochieana,0.8
42,Acacia maidenii,0.62
43,Acacia mangium,0.51
44,Acacia mearnsii,0.66
45,Acacia melanoxylon,0.55
46,Acacia murrayana,0.52
47,Acacia omalophylla,1.06
48,Acacia oswaldii,0.98
49,Acacia papyrocarpa,0.98
50,Acacia pendula,0.99
51,Acacia penninervis,0.64
52,Acacia peuce,1.23
53,Acacia podalyriifolia,0.68
54,Acacia polyacantha,0.64
55,Acacia polyphylla,0.64
56,Acacia pruinocarpa,0.94
57,Acacia pubescens,0.62
58,Acacia salicina,0.53
59,Acacia sclerosperma,0.86
60,Acacia spectabilis,0.77
61,Acacia stenophylla,0.76
62,Acacia tetragonophylla,0.94
63,Acacia trinervata,0.76
64,Acacia victoriae,0.69
65,Acacia visco,0.69
66,Acca,0.75
67,Acca sellowiana,0.75
68,Acer,0.52
69,Acer buergerianum,0.62
70,Acer campestre,0.52
71,Acer davidii,0.46
72,Acer macrophyllum,0.44
73,Acer mandshuricum,0.58
74,Acer negundo,0.42
75,Acer nigrum,0.52
76,Acer oblongum,0.6
77,Acer palmatum,0.45
78,Acer pensylvanicum,0.44
79,Acer pictum ssp. Mono,0.64
80,Acer platanoides,0.52
81,Acer pseudoplatanus,0.51
82,Acer rubrum,0.49
83,Acer saccharinum,0.44
84,Acer saccharum,0.56
85,Acer truncatum,0.59
86,Acradenia,0.63
87,Acradenia frankliniae,0.63
88,Adansonia,0.28
89,Adansonia digitata,0.28
90,Adenanthera,0.7
91,Adenanthera pavonina,0.7
92,Adenostoma,0.75
93,Adenostoma fasciculatum,0.75
94,Aegiphila,0.86
95,Aegiphila integrifolia,0.86
96,Aegle,0.83
97,Aegle marmelos,0.83
98,Aesculus,0.47
99,Aesculus chinensis,0.6
100,Aesculus flava,0.35
101,Aesculus hippocastanum,0.5
102,Aesculus indica,0.46
103,Aesculus turbinata,0.45
104,Afrocarpus,0.5
105,Afrocarpus gracilior,0.5
106,Afrocarpus usambarensis,0.49
107,Agathis,0.43
108,Agathis australis,0.45
109,Agathis macrophylla,0.45
110,Agathis robusta,0.4
111,Ailanthus,0.52
112,Ailanthus altissima,0.52
113,Albizia,0.52
114,Albizia chinensis,0.3
115,Albizia ferruginea,0.49
116,Albizia lebbeck,0.6
117,Albizia lebbekoides,0.57
118,Albizia moluccana,0.32
119,Albizia pedicellaris,0.52
120,Albizia procera,0.47
121,Albizia saponaria,0.57
122,Alchornea,0.42
123,Alchornea glandulosa,0.38
124,Alchornea latifolia,0.42
125,Alchornea triplinervia,0.47
126,Alchorneopsis,0.45
127,Alchorneopsis floribunda,0.45
128,Aleurites,0.35
129,Aleurites moluccanus,0.38
130,Aleurites montanus,0.32
131,Allocasuarina,0.76
132,Allocasuarina fraseriana,0.62
133,Allocasuarina littoralis,0.63
134,Allocasuarina luehmannii,0.96
135,Allocasuarina torulosa,0.82
136,Allophylus,0.65
137,Allophylus edulis,0.65
138,Alloxylon,0.48
139,Alloxylon flammeum,0.48
140,Alnus,0.4
141,Alnus acuminata,0.4
142,Alnus glutinosa,0.42
143,Alnus incana,0.44
144,Alnus jorullensis,0.38
145,Alnus nepalensis,0.41
146,Alnus rubra,0.37
147,Alphitonia,0.49
148,Alphitonia excelsa,0.54
149,Alphitonia petriei,0.44
150,Alstonia,0.46
